CPU_Cores,CPU_Load,Memory_Usage,Disk_IO,Network_Bandwidth,Compute1_Watts,Compute3_Watts
1,40,0,40,60,176,154
1,40,0,40,80,173,160
1,40,0,40,90,176,158
1,40,0,60,0,176,155
1,40,0,60,20,178,158
1,40,0,60,40,176,152
1,40,0,60,60,174,154
1,40,0,60,80,175,155
1,40,0,60,90,177,152
1,40,0,80,0,176,152
1,40,0,80,20,177,155
1,40,0,80,40,171,150
1,40,0,80,60,175,154
1,40,0,80,80,177,158
1,40,0,80,90,176,149
1,40,0,90,0,176,153
1,40,0,90,20,179,153
1,40,0,90,40,176,153
1,40,0,90,60,176,150
1,40,0,90,80,178,155
1,40,0,90,90,180,155
1,40,20,0,0,182,159
1,40,20,0,20,179,151
1,40,20,0,40,179,153
1,40,20,0,60,178,151
1,40,20,0,80,180,154
1,40,20,0,90,181,153
1,40,20,20,0,183,152
1,40,20,20,20,180,151
1,40,20,20,40,183,153
1,40,20,20,60,177,161
1,40,20,20,80,184,151
1,40,20,20,90,181,152
1,40,20,40,0,177,150
1,40,20,40,20,181,155
1,40,20,40,40,184,150
1,40,20,40,60,183,149
1,40,20,40,80,178,156
1,40,20,40,90,184,153
1,40,20,60,0,177,152
1,40,20,60,20,182,155
1,40,20,60,40,184,154
1,40,20,60,60,184,157
1,40,20,60,80,183,154
1,40,20,60,90,184,158
1,40,20,80,0,182,153
1,40,20,80,20,185,152
1,40,20,80,40,183,154
1,40,20,80,60,182,152
1,40,20,80,80,177,155
1,40,20,80,90,184,154
1,40,20,90,0,177,161
1,40,20,90,20,178,153
1,40,20,90,40,183,153
1,40,20,90,60,181,156
1,40,20,90,80,177,151
1,40,20,90,90,187,153
1,40,40,0,0,186,151
1,40,40,0,20,180,152
1,40,40,0,40,181,155
1,40,40,0,60,180,154
1,40,40,0,80,179,163
1,40,40,0,90,180,165
1,40,40,20,0,182,155
1,40,40,20,20,179,155
1,40,40,20,40,180,153
1,40,40,20,60,178,158
1,40,40,20,80,179,153
1,40,40,20,90,181,153
1,40,40,40,0,179,153
1,40,40,40,20,179,154
1,40,40,40,40,178,159
1,40,40,40,60,177,152
